,experience_level,employment_type,remote_ratio,company_size,salary_in_usd
0,1,0,0.0,2,0.133
1,2,0,0.0,0,0.433
2,2,0,0.5,1,0.182
3,1,0,0.0,0,0.033
4,2,0,0.5,2,0.25
5,0,0,1.0,2,0.12
6,2,0,1.0,0,0.317
7,1,0,0.5,2,0.06
8,1,0,1.0,2,0.225
9,2,0,0.5,0,0.208
10,0,0,0.0,0,0.086
11,1,0,0.0,2,0.067
12,0,0,0.0,1,0.067
13,1,0,1.0,2,0.145
14,1,0,1.0,2,0.142
15,1,0,0.5,2,0.013
16,0,0,1.0,0,0.069
17,2,0,1.0,0,0.19
18,0,0,0.5,1,0.01
19,1,0,1.0,1,0.093
20,1,0,0.0,1,0.072
21,1,0,1.0,2,0.01
22,2,0,0.5,2,0.08
23,1,0,0.0,1,0.163
24,1,0,0.0,2,0.192
25,3,0,1.0,2,0.542
26,0,0,0.5,2,0.07
27,2,0,0.0,0,0.056
28,0,1,1.0,2,0.167
29,2,0,0.5,2,0.195
30,1,0,1.0,0,0.099
31,0,0,1.0,2,0.117
32,2,0,1.0,2,0.114
33,1,0,0.0,1,0.75
34,1,0,0.5,2,0.078
35,1,0,0.5,2,0.124
36,1,0,1.0,2,0.172
37,0,0,0.5,2,0.417
38,0,0,1.0,0,0.017
39,0,0,1.0,0,0.23
40,1,0,1.0,0,0.076
41,3,0,0.5,2,0.133
42,1,0,0.0,1,0.084
43,1,0,1.0,2,0.177
44,1,0,0.5,2,0.188
45,0,2,1.0,0,0.027
46,1,0,1.0,0,0.128
47,2,0,1.0,2,0.313
48,1,0,1.0,2,0.175
49,1,0,0.5,2,0.117
50,0,0,0.0,0,0.01
51,0,0,1.0,2,0.152
52,0,0,0.5,0,0.076
53,0,0,1.0,2,0.091
54,2,3,1.0,0,0.1
55,2,0,1.0,1,0.247
56,1,0,1.0,1,0.065
57,1,0,1.0,1,0.197
58,2,0,0.5,2,0.2
59,1,0,1.0,1,0.231
60,1,0,1.0,2,0.183
61,1,0,1.0,1,0.218
62,0,2,0.5,0,0.036
63,2,0,1.0,2,0.687
64,2,0,1.0,0,0.076
65,0,0,0.5,0,0.105
66,0,0,0.0,0,0.082
67,2,0,1.0,1,0.317
68,0,0,1.0,0,0.175
69,2,0,0.0,0,0.152
70,1,0,0.5,0,0.105
71,1,0,0.5,0,0.07
72,0,0,0.5,2,0.138
73,3,0,1.0,2,0.25
74,3,0,1.0,2,0.392
75,2,0,0.5,2,0.089
76,1,0,1.0,1,0.167
77,1,2,0.5,1,0.009
78,1,1,1.0,2,0.45
79,0,0,1.0,1,0.133
80,2,0,1.0,2,0.132
81,1,0,1.0,2,0.233
82,1,0,0.5,2,0.09
83,1,0,1.0,0,0.079
84,3,0,1.0,2,0.256
85,1,0,1.0,2,0.047
86,0,0,0.5,1,0.099
87,1,0,1.0,2,0.183
88,2,0,1.0,2,0.283
89,2,0,1.0,0,0.133
90,2,0,1.0,2,0.148
91,0,0,1.0,0,0.128
92,1,0,1.0,2,0.033
93,2,0,0.0,2,0.46
94,0,0,0.5,2,0.05
95,1,0,0.5,2,0.149
96,0,2,1.0,0,0.02
97,1,0,1.0,2,0.75
98,0,0,1.0,1,0.117
99,1,0,1.0,0,0.16
100,1,0,0.0,2,0.125
101,2,0,1.0,2,0.25
102,1,0,0.5,2,0.06
103,1,0,0.0,2,0.103
104,1,0,0.0,2,0.122
105,1,0,0.5,2,0.086
106,1,0,1.0,2,0.312
107,2,0,1.0,0,0.192
108,2,0,1.0,1,0.25
109,0,0,1.0,2,0.051
110,2,0,0.5,2,0.158
111,2,0,1.0,1,0.189
112,2,0,1.0,0,0.172
113,0,2,1.0,1,0.02
114,1,0,1.0,2,0.076
115,0,0,1.0,2,0.375
116,1,0,1.0,2,0.083
117,1,0,1.0,1,0.067
118,0,0,1.0,0,0.15
119,1,0,1.0,2,0.333
120,1,0,0.5,1,0.1
121,2,0,1.0,1,0.333
122,0,0,1.0,1,0.083
123,0,0,0.0,2,0.183
124,0,2,0.5,1,0.017
125,1,0,1.0,2,0.252
