,max_depth,min_samples_leaf,learn_rate,accuracy
0,4,16,0.624,95
1,10,14,0.477,97
2,7,14,0.05,96
3,5,12,0.023,96
4,6,12,0.771,97
5,13,11,0.29,96
6,6,10,0.317,96
7,19,10,0.758,96
8,2,16,0.932,96
9,16,13,0.905,96
10,12,13,0.891,96
11,4,16,0.504,96
12,2,13,0.224,95
13,3,11,0.01,95
14,14,15,0.518,95
15,10,16,0.224,95
16,20,12,0.878,95
17,10,14,0.851,95
18,2,15,0.063,94
19,9,16,0.651,94
20,16,15,0.771,94
21,12,14,0.357,94
22,10,14,0.638,94
23,4,8,0.745,93
24,7,12,0.758,93
25,5,16,0.891,93
26,12,10,0.384,92
27,19,8,0.464,91
28,17,12,0.397,91
29,9,14,0.464,87
30,11,5,0.21,87
31,18,5,0.932,84
32,2,12,0.464,83
33,2,5,0.037,83
34,6,6,0.13,83
35,12,6,0.945,82
36,5,11,0.504,82
37,2,7,0.477,82
38,10,11,0.504,82
39,19,8,0.891,82
40,10,12,0.664,81
41,7,16,0.651,81
42,20,3,0.838,80
43,17,7,0.785,79
44,7,6,0.811,78
45,17,16,0.891,78
46,13,6,0.518,78
47,25,10,0.317,78
48,4,3,0.758,78
49,53,13,0.638,78
50,47,13,0.798,77
51,17,5,0.691,76
52,11,16,1.72,76
53,20,6,0.264,76
54,5,4,0.531,76
55,17,9,0.945,76
56,9,16,1.199,74
57,9,4,0.718,74
58,24,14,0.21,74
59,61,11,0.598,73
60,13,7,0.264,73
61,5,10,1.038,73
62,1,11,0.277,73
63,22,14,0.09,72
64,6,11,1.078,72
65,17,10,1.386,72
66,4,8,0.945,71
67,10,10,1.84,71
68,20,15,1.786,71
69,13,9,0.05,71
70,19,13,1.586,71
71,57,15,0.17,70
72,37,14,0.664,70
73,35,13,0.584,70
74,41,16,0.371,69
75,47,10,0.317,69
76,17,7,0.063,69
77,10,9,0.544,69
78,54,10,0.397,69
79,55,10,0.598,69
80,15,6,0.998,68
81,61,12,0.972,68
82,27,14,0.958,68
83,16,12,1.88,67
84,5,11,1.479,67
85,5,9,0.878,67
86,27,14,0.531,67
87,5,6,0.945,66
88,48,13,0.023,66
89,46,12,0.411,66
90,27,15,0.638,66
91,58,13,0.745,66
92,18,11,1.012,66
93,43,14,0.865,65
94,42,10,0.584,65
95,15,4,0.678,65
96,51,13,0.958,65
97,27,15,0.811,65
98,3,12,1.199,65
99,11,14,1.065,65
100,7,5,0.905,65
101,37,15,0.331,64
102,22,10,0.424,64
103,39,15,0.13,64
104,59,10,0.998,64
105,39,12,0.504,64
106,10,6,0.945,64
107,17,15,1.012,64
108,34,16,0.037,63
109,12,8,0.745,63
110,8,15,1.412,63
111,50,12,0.905,63
112,64,16,0.518,62
113,53,12,0.451,62
114,33,10,0.304,62
115,39,11,0.184,61
116,64,14,0.371,60
117,55,10,0.624,60
118,39,16,0.224,60
119,25,13,0.771,60
120,6,16,1.212,59
121,20,8,0.464,59
122,33,13,0.29,59
123,56,12,0.21,58
124,20,10,1.573,58
125,39,12,0.624,58
126,57,14,0.905,58
127,26,9,0.771,57
128,13,10,1.947,57
129,61,8,0.21,57
130,55,16,0.17,56
131,11,12,1.773,56
132,31,4,0.865,56
133,30,12,0.464,55
134,52,9,0.05,55
135,14,6,1.038,55
136,53,8,0.651,55
137,15,11,1.773,54
138,5,6,1.96,54
139,3,14,1.199,54
140,40,7,0.811,54
141,38,13,0.357,53
142,60,11,0.451,53
143,32,8,0.384,53
144,57,4,0.518,53
145,41,5,0.878,53
146,14,10,1.653,53
147,5,6,1.038,53
148,51,5,0.651,53
149,13,16,1.533,52
150,4,11,1.666,52
151,43,7,0.13,52
152,14,5,1.105,52
153,34,3,0.838,52
154,44,3,0.09,52
155,37,12,0.865,51
156,14,4,2.0,51
157,3,9,1.492,51
158,17,11,1.119,51
159,17,4,1.506,51
160,45,11,0.504,51
161,15,5,2.0,51
162,21,16,0.678,51
163,19,5,1.132,50
164,45,6,0.464,50
165,34,13,0.918,50
166,32,13,0.584,50
167,15,6,1.306,50
168,64,8,0.958,50
169,7,3,1.786,50
170,10,7,1.987,50
171,49,16,0.477,50
172,8,5,1.185,50
173,14,9,1.559,50
174,7,9,1.773,49
175,16,6,1.426,49
176,1,12,1.733,49
177,4,9,1.239,49
178,59,9,0.397,49
179,9,3,1.212,49
180,46,16,0.371,49
181,55,8,0.745,49
182,17,7,1.426,49
183,51,4,0.584,49
184,17,14,1.159,49
185,11,9,1.813,49
186,40,3,0.397,49
187,6,7,1.159,49
188,16,3,1.185,49
189,25,16,0.891,49
190,60,4,0.624,49
191,61,14,0.384,49
192,36,4,0.29,49
193,21,6,0.932,49
194,31,9,0.718,49
195,62,11,0.264,48
196,18,5,1.987,48
197,20,15,1.479,48
198,3,4,1.599,48
199,29,7,0.758,48
200,1,5,1.84,48
201,63,4,0.063,48
202,10,6,1.199,48
203,13,9,1.172,48
204,11,7,1.412,48
205,18,5,1.399,48
206,9,11,1.412,48
207,57,15,0.197,48
208,61,3,0.651,48
209,17,3,1.84,47
210,15,13,1.279,47
211,50,10,0.13,47
212,21,13,0.785,47
213,61,16,0.598,47
214,4,7,1.012,47
215,47,3,0.985,47
216,37,7,0.531,47
217,16,14,1.933,47
218,22,10,0.317,47
219,61,5,0.878,47
220,6,6,1.519,47
221,10,5,1.559,46
222,12,3,1.666,46
223,23,12,0.972,46
224,33,5,0.344,46
225,13,3,1.987,46
226,55,11,0.504,46
227,62,7,0.023,46
228,20,4,1.426,46
229,19,6,1.84,46
230,10,8,1.947,46
231,37,3,0.01,46
232,47,13,0.638,46
233,48,6,0.998,46
234,3,13,1.786,46
235,14,9,1.613,46
236,55,8,0.277,46
237,9,10,1.319,46
238,15,6,1.666,46
239,22,8,0.518,45
240,55,3,0.29,45
241,4,7,1.626,45
242,16,4,1.706,45
243,34,12,0.638,45
244,10,9,1.492,45
245,57,11,0.758,45
246,30,7,0.518,45
247,8,14,1.159,45
248,55,10,0.771,45
249,21,14,0.277,44
250,37,5,0.905,44
251,42,16,0.678,44
252,16,10,1.626,44
253,45,12,0.945,44
254,24,7,0.798,44
255,33,3,0.09,44
256,46,4,0.277,44
257,42,7,0.09,44
258,31,5,0.651,44
259,46,15,0.718,43
260,38,9,0.878,43
261,48,11,0.531,43
262,1,5,0.397,43
263,30,9,0.21,43
264,14,8,1.038,43
265,28,16,0.678,43
266,12,6,1.372,43
267,41,4,0.531,42
268,64,14,0.05,42
269,26,6,0.985,42
270,20,10,1.559,42
271,8,9,1.252,42
272,33,12,0.838,42
273,32,9,0.384,42
274,17,11,1.346,42
275,49,14,0.811,42
276,3,13,1.933,42
277,10,11,1.212,42
278,16,13,1.613,41
279,60,16,0.998,41
280,60,9,0.023,41
281,8,14,1.306,41
282,30,5,0.611,41
283,49,4,0.13,41
284,53,9,0.518,41
285,29,12,0.384,41
286,9,9,1.346,40
287,47,8,0.798,40
288,25,6,0.745,40
289,3,6,1.346,40
290,49,6,0.745,40
291,43,7,0.063,39
292,32,5,0.905,38
293,46,3,0.918,38
294,38,5,0.878,38
295,32,5,0.624,38
296,22,11,1.773,37
297,23,12,0.518,37
298,38,12,0.825,37
299,32,6,0.785,37
300,56,7,0.691,37
301,50,5,0.731,37
302,56,5,0.477,36
303,60,8,0.264,36
304,44,15,1.786,36
305,59,5,0.21,36
306,28,4,0.865,36
307,45,12,1.225,35
308,24,6,0.838,35
309,27,5,0.077,35
310,29,9,0.878,35
311,58,15,1.078,35
312,29,5,0.798,35
313,51,9,0.825,34
314,51,3,0.371,34
315,51,14,1.239,34
316,51,8,0.664,34
317,61,6,0.17,33
318,27,9,0.918,33
319,51,5,0.157,33
320,55,8,0.678,33
321,33,11,1.119,33
322,46,5,0.932,33
323,36,13,1.706,32
324,30,13,1.132,32
325,22,6,0.624,32
326,21,13,1.907,31
327,61,6,0.584,31
328,51,10,1.265,31
329,64,14,1.907,30
330,54,13,1.72,30
331,21,13,1.252,30
332,23,14,1.973,30
333,25,4,0.905,30
334,54,3,0.157,29
335,48,10,1.025,29
336,52,7,0.397,29
337,60,6,0.758,29
338,34,7,0.691,29
339,61,8,0.972,28
340,22,12,1.96,28
341,49,3,0.531,28
342,51,3,0.29,28
343,53,9,0.01,28
344,29,8,0.077,28
345,36,14,1.84,28
346,43,13,1.426,28
347,59,16,1.639,27
348,22,9,0.157,27
349,56,5,0.745,27
350,34,8,0.518,27
351,51,9,0.985,27
352,45,8,0.718,27
353,35,10,1.038,27
354,45,4,0.731,27
355,43,12,1.746,27
356,61,5,0.357,27
357,63,15,1.96,26
358,24,14,1.399,26
359,22,5,0.277,26
360,61,4,0.237,26
361,49,5,0.945,26
362,34,3,0.878,26
363,47,5,0.411,26
364,48,5,0.344,26
365,44,11,1.8,26
366,50,12,1.96,26
367,24,5,0.678,26
368,41,12,1.386,25
369,42,10,1.386,25
370,39,3,0.317,25
371,53,12,1.439,24
372,38,8,0.918,24
373,40,11,1.492,24
374,50,9,0.785,24
375,27,9,0.504,24
376,35,7,0.411,24
377,43,10,1.559,24
378,44,9,0.344,23
379,27,7,0.09,23
380,25,7,0.13,23
381,21,4,1.533,23
382,40,15,1.132,23
383,29,10,1.653,23
384,60,8,1.933,22
385,54,6,1.265,22
386,63,8,1.8,22
387,29,9,1.653,22
388,59,15,1.466,22
389,64,16,1.439,22
390,36,10,1.172,22
391,50,8,1.88,22
392,54,8,1.078,22
393,38,5,1.546,22
394,41,8,0.317,22
395,40,6,1.813,22
396,59,6,0.037,22
397,57,13,2.0,21
398,64,9,1.185,21
399,24,9,1.359,21
400,57,11,1.078,21
401,40,6,1.573,21
402,63,11,2.0,21
403,46,9,1.893,21
404,47,15,1.452,21
405,55,10,1.706,21
406,25,16,1.452,21
407,35,3,1.533,21
408,33,14,1.252,21
409,53,12,1.212,21
410,52,16,1.907,21
411,62,15,1.613,20
412,31,9,1.239,20
413,64,12,1.492,20
414,43,4,1.319,19
415,53,9,1.306,19
416,52,5,1.252,19
417,38,10,1.626,19
418,40,11,1.012,19
419,55,16,1.786,19
420,31,5,1.252,19
421,36,9,1.8,19
422,59,14,1.279,19
423,23,6,0.985,19
424,52,15,1.306,18
425,31,16,1.506,18
426,50,12,1.826,18
427,62,6,1.826,18
428,48,12,1.332,18
429,64,8,1.987,18
430,59,9,1.826,18
431,60,3,1.105,18
432,31,8,1.279,18
433,31,11,1.826,18
434,42,4,1.252,17
435,29,15,1.372,17
436,61,16,1.199,17
437,23,14,1.279,17
438,23,3,1.72,17
439,24,7,1.679,17
440,59,16,1.746,17
441,25,4,1.84,17
442,32,7,1.947,17
443,28,7,1.786,17
444,62,3,1.119,16
445,49,3,1.88,16
446,51,8,1.933,16
447,22,8,1.012,16
448,29,6,1.159,16
449,34,11,1.332,16
450,35,11,1.653,16
451,23,3,1.679,16
452,56,7,1.132,16
453,55,11,1.907,16
454,33,8,1.078,16
455,53,4,1.933,16
456,43,5,1.639,16
457,35,8,1.172,16
458,44,5,1.439,16
459,58,11,1.907,16
460,30,10,1.252,16
461,64,12,1.012,15
462,31,5,1.76,15
463,32,13,1.679,15
464,45,7,1.185,15
465,52,9,1.466,15
466,60,16,1.853,15
467,42,10,1.452,15
468,39,6,1.813,15
469,54,15,1.84,15
470,61,16,1.052,15
471,29,13,1.933,14
472,45,4,1.826,14
473,50,7,1.025,14
474,23,10,2.0,14
475,64,15,1.639,14
476,51,9,1.012,13
477,44,9,1.452,13
478,33,7,1.947,13
479,52,16,1.947,13
480,41,5,1.332,13
481,42,5,1.012,12
482,45,12,1.88,12
483,34,4,1.987,12
484,34,15,1.733,12
485,25,8,1.573,11
486,41,9,1.8,11
487,45,7,1.546,11
488,53,3,1.8,11
489,53,6,1.332,11
490,52,16,1.586,10
491,54,5,1.078,10
492,56,10,1.92,10
493,31,3,1.96,10
494,22,3,1.399,10
495,40,4,1.626,10
496,26,6,1.84,10
497,58,4,1.786,10
498,44,8,1.599,10
499,27,6,1.372,10
