,date
2010-01-04,
2010-01-05,0.001729
2010-01-06,-0.015906
2010-01-07,-0.001849
2010-01-08,0.006648
2010-01-11,-0.008822
2010-01-12,-0.011375
2010-01-13,0.014106
2010-01-14,-0.005792
2010-01-15,-0.016712
2010-01-19,0.044238
2010-01-20,-0.015392
2010-01-21,-0.017286
2010-01-22,0.000756
2010-01-25,0.026903
2010-01-26,0.014133
2010-01-27,0.00942
2010-01-28,-0.041322
2010-01-29,-0.036279
2010-02-01,0.013902
2010-02-02,0.005803
2010-02-03,0.017206
2010-02-04,-0.036039
2010-02-05,0.017756
2010-02-08,-0.006856
2010-02-09,0.010664
2010-02-10,-0.005454
2010-02-11,0.018194
2010-02-12,0.008607
2010-02-16,0.015071
2010-02-17,-0.004179
2010-02-18,0.001876
2010-02-19,-0.006209
2010-02-22,-0.006198
2010-02-23,-0.016765
2010-02-24,0.018269
2010-02-25,0.006678
2010-02-26,0.01297
2010-03-01,0.021357
2010-03-02,-0.00067
2010-03-03,0.002298
2010-03-04,0.006592
2010-03-05,0.039106
2010-03-08,0.000594
2010-03-09,0.017984
2010-03-10,0.008161
2010-03-11,0.002935
2010-03-12,0.004878
2010-03-15,-0.01218
2010-03-16,0.002725
2010-03-17,-0.00147
2010-03-18,0.002365
2010-03-19,-0.010683
2010-03-22,0.011249
2010-03-23,0.016062
2010-03-24,0.004423
2010-03-25,-0.011859
2010-03-26,0.018751
2010-03-29,0.006453
2010-03-30,0.014889
2010-03-31,-0.003604
2010-04-01,0.004128
2010-04-05,0.010679
2010-04-06,0.004403
2010-04-07,0.004425
2010-04-08,-0.002702
2010-04-09,0.007668
2010-04-12,0.002068
2010-04-13,0.000578
2010-04-14,0.013447
2010-04-15,0.013147
2010-04-16,-0.006106
2010-04-19,-0.001334
2010-04-20,-0.010038
2010-04-21,0.000756
2010-04-22,0.027968
2010-04-23,0.016362
2010-04-26,-0.004911
2010-04-27,-0.027681
2010-04-28,-0.001679
2010-04-29,0.026911
2010-04-30,-0.028105
2010-05-03,0.020146
2010-05-04,-0.028797
2010-05-05,-0.010399
2010-05-06,-0.038048
2010-05-07,-0.042193
2010-05-10,0.000756
2010-05-11,0.009961
