Date,SMLV
2013-02-21,49.483
2013-02-22,49.881
2013-02-25,49.441
2013-02-26,49.2
2013-02-27,49.424
2013-02-28,49.848
2013-03-01,49.507
2013-03-04,49.507
2013-03-05,50.33
2013-03-06,50.513
2013-03-07,50.463
2013-03-08,50.463
2013-03-11,50.886
2013-03-12,50.886
2013-03-13,51.052
2013-03-14,51.252
2013-03-15,51.374
2013-03-18,51.374
2013-03-19,51.374
2013-03-20,51.433
2013-03-21,51.358
2013-03-22,51.316
2013-03-25,51.358
2013-03-26,51.641
2013-03-27,51.696
2013-03-28,51.949
2013-04-01,51.366
2013-04-02,51.491
2013-04-03,50.792
2013-04-04,51.0
2013-04-05,50.941
2013-04-08,51.524
2013-04-09,51.374
2013-04-10,51.374
2013-04-11,52.074
2013-04-12,51.907
2013-04-15,50.275
2013-04-16,50.883
2013-04-17,50.225
2013-04-18,50.034
2013-04-19,50.658
2013-04-22,50.8
2013-04-23,51.491
2013-04-24,51.782
2013-04-25,51.86
2013-04-26,51.691
2013-04-29,51.691
2013-04-30,52.224
2013-05-01,51.608
2013-05-02,51.724
2013-05-03,52.49
2013-05-06,52.457
2013-05-07,53.048
2013-05-08,53.005
2013-05-09,52.815
2013-05-10,53.023
2013-05-13,52.959
2013-05-14,53.275
2013-05-15,53.764
2013-05-16,53.539
2013-05-17,54.006
2013-05-20,54.031
2013-05-21,54.139
2013-05-22,53.256
2013-05-23,52.945
2013-05-24,53.023
2013-05-28,53.256
2013-05-29,52.598
2013-05-30,52.838
2013-05-31,52.537
2013-06-03,52.648
2013-06-04,52.288
2013-06-05,51.707
2013-06-06,51.549
2013-06-07,52.465
2013-06-10,52.565
2013-06-11,52.165
2013-06-12,51.404
2013-06-13,52.415
2013-06-14,52.357
2013-06-17,52.457
2013-06-18,53.131
2013-06-19,52.299
2013-06-20,50.941
2013-06-21,51.265
2013-06-24,50.779
2013-06-25,50.963
2013-06-26,51.475
2013-06-27,52.217
2013-06-28,52.296
2013-07-01,52.475
2013-07-02,52.388
2013-07-03,52.665
2013-07-05,53.034
2013-07-08,53.562
2013-07-09,54.092
2013-07-10,54.09
2013-07-11,54.635
2013-07-12,54.979
2013-07-15,55.333
2013-07-16,55.18
2013-07-17,55.317
2013-07-18,55.851
2013-07-19,55.91
2013-07-22,56.044
2013-07-23,56.119
2013-07-24,55.583
2013-07-25,56.018
2013-07-26,55.932
2013-07-29,55.648
2013-07-30,55.616
2013-07-31,55.675
2013-08-01,56.127
2013-08-02,56.144
2013-08-05,56.15
2013-08-06,55.91
2013-08-07,55.599
2013-08-08,55.775
2013-08-09,55.692
2013-08-12,55.683
2013-08-13,55.692
2013-08-14,55.44
2013-08-15,54.286
2013-08-16,53.864
2013-08-19,53.571
2013-08-20,53.99
2013-08-21,53.705
2013-08-22,54.132
2013-08-23,54.292
2013-08-26,54.425
2013-08-27,53.472
2013-08-28,53.285
2013-08-29,53.612
2013-08-30,52.957
2013-09-03,52.816
2013-09-04,53.0
2013-09-05,53.21
2013-09-06,53.319
2013-09-09,53.956
2013-09-10,54.107
2013-09-11,54.602
2013-09-12,54.644
2013-09-13,54.669
2013-09-16,54.971
2013-09-17,55.264
2013-09-18,56.086
2013-09-19,56.06
2013-09-20,56.431
2013-09-23,56.203
2013-09-24,56.26
2013-09-25,56.262
2013-09-26,56.169
2013-09-27,56.169
2013-09-30,55.827
2013-10-01,56.522
2013-10-02,56.169
2013-10-03,55.688
2013-10-04,55.764
2013-10-07,55.443
2013-10-08,54.979
2013-10-09,55.224
2013-10-10,55.934
2013-10-11,56.861
2013-10-14,57.03
2013-10-15,56.55
2013-10-16,56.996
2013-10-17,57.568
2013-10-18,57.57
2013-10-21,58.26
2013-10-22,58.671
2013-10-23,58.701
2013-10-24,58.616
2013-10-25,58.785
2013-10-28,59.012
2013-10-29,58.929
2013-10-30,58.473
2013-10-31,58.228
2013-11-01,57.747
2013-11-04,58.237
2013-11-05,58.076
2013-11-06,58.237
2013-11-07,57.384
2013-11-08,57.789
2013-11-11,57.941
2013-11-12,57.587
2013-11-13,58.085
2013-11-14,58.441
2013-11-15,58.481
2013-11-18,58.465
2013-11-19,58.296
2013-11-20,58.193
2013-11-21,58.971
2013-11-22,59.19
2013-11-25,59.216
2013-11-26,59.579
2013-11-27,59.705
2013-11-29,59.705
2013-12-02,59.207
2013-12-03,58.988
2013-12-04,58.717
2013-12-05,58.888
2013-12-06,59.691
2013-12-09,59.494
2013-12-10,59.071
2013-12-11,58.237
2013-12-12,58.524
2013-12-13,58.777
2013-12-16,59.502
2013-12-17,59.46
2013-12-18,59.283
2013-12-19,59.84
2013-12-20,60.546
2013-12-23,60.546
2013-12-24,61.929
2013-12-26,61.929
2013-12-27,62.519
2013-12-30,62.594
2013-12-31,62.569
2014-01-02,61.517
2014-01-03,61.517
2014-01-06,61.577
2014-01-07,61.993
2014-01-08,61.598
2014-01-09,61.942
2014-01-10,61.942
2014-01-13,61.359
2014-01-14,62.052
2014-01-15,62.41
2014-01-16,62.278
2014-01-17,62.304
2014-01-21,62.569
2014-01-22,62.633
2014-01-23,62.292
2014-01-24,61.077
2014-01-27,60.883
2014-01-28,60.44
2014-01-29,60.044
2014-01-30,61.05
2014-01-31,60.644
2014-02-03,58.895
2014-02-04,59.223
2014-02-05,58.96
2014-02-06,58.96
2014-02-07,59.708
2014-02-10,60.013
2014-02-11,60.851
2014-02-12,60.891
2014-02-13,61.854
2014-02-14,62.083
2014-02-18,62.445
2014-02-19,61.758
2014-02-20,62.118
2014-02-21,62.489
2014-02-24,63.028
2014-02-25,62.641
2014-02-26,62.641
2014-02-27,63.185
2014-02-28,63.284
2014-03-03,62.64
2014-03-04,64.485
2014-03-05,64.238
2014-03-06,64.123
2014-03-07,64.079
2014-03-10,64.079
2014-03-11,64.079
2014-03-12,63.567
2014-03-13,63.672
2014-03-14,63.95
2014-03-17,64.229
2014-03-18,64.573
2014-03-19,64.238
2014-03-20,64.37
2014-03-21,64.47
2014-03-24,63.888
2014-03-25,64.036
2014-03-26,63.468
2014-03-27,63.468
2014-03-28,63.451
2014-03-31,64.062
2014-04-01,64.514
2014-04-02,64.63
2014-04-03,64.337
2014-04-04,63.362
2014-04-07,62.844
2014-04-08,63.078
2014-04-09,63.078
2014-04-10,62.032
2014-04-11,61.695
2014-04-14,61.782
2014-04-15,62.005
2014-04-16,62.682
2014-04-17,62.715
2014-04-21,62.901
2014-04-22,63.193
2014-04-23,63.105
2014-04-24,62.768
2014-04-25,62.2
2014-04-28,61.8
2014-04-29,62.165
2014-04-30,62.378
2014-05-01,62.13
2014-05-02,62.697
2014-05-05,62.413
2014-05-06,61.837
2014-05-07,61.748
2014-05-08,62.316
2014-05-09,62.147
2014-05-12,63.377
2014-05-13,62.794
2014-05-14,62.085
2014-05-15,60.799
2014-05-16,61.349
2014-05-19,61.784
2014-05-20,60.915
2014-05-21,60.915
2014-05-22,61.911
2014-05-23,61.911
2014-05-27,63.007
2014-05-28,62.741
2014-05-29,62.839
2014-05-30,62.688
2014-06-02,62.759
2014-06-03,62.724
2014-06-04,62.821
2014-06-05,64.009
2014-06-06,64.009
2014-06-09,64.956
2014-06-10,64.869
2014-06-11,64.426
2014-06-12,63.912
2014-06-13,64.266
2014-06-16,64.115
2014-06-17,64.798
2014-06-18,64.798
2014-06-19,65.25
2014-06-20,65.582
2014-06-23,65.582
2014-06-24,65.252
2014-06-25,65.396
2014-06-26,65.377
2014-06-27,65.68
2014-06-30,65.877
2014-07-01,66.224
2014-07-02,66.135
2014-07-03,66.263
2014-07-07,65.773
2014-07-08,65.509
2014-07-09,65.509
2014-07-10,65.225
2014-07-11,65.007
2014-07-14,65.065
2014-07-15,65.065
2014-07-16,64.489
2014-07-17,64.003
2014-07-18,64.003
2014-07-21,64.003
2014-07-22,64.753
2014-07-23,64.36
2014-07-24,64.441
2014-07-25,64.039
2014-07-28,63.896
2014-07-29,63.79
2014-07-30,63.58
2014-07-31,62.648
2014-08-01,62.157
2014-08-04,62.309
2014-08-05,62.878
2014-08-06,62.817
2014-08-07,62.917
2014-08-08,62.917
2014-08-11,62.917
2014-08-12,63.201
2014-08-13,63.815
2014-08-14,64.06
2014-08-15,64.06
2014-08-18,64.503
2014-08-19,65.092
2014-08-20,64.851
2014-08-21,65.386
2014-08-22,65.386
2014-08-25,65.379
2014-08-26,65.591
2014-08-27,65.584
2014-08-28,65.584
2014-08-29,65.645
2014-09-02,66.073
2014-09-03,66.298
2014-09-04,65.814
2014-09-05,65.466
2014-09-08,65.752
2014-09-09,65.154
2014-09-10,65.288
2014-09-11,65.707
2014-09-12,65.038
2014-09-15,64.516
2014-09-16,64.833
2014-09-17,64.958
2014-09-18,64.958
2014-09-19,64.951
2014-09-22,64.028
2014-09-23,63.131
2014-09-24,63.342
2014-09-25,62.799
2014-09-26,63.216
2014-09-29,63.122
2014-09-30,62.782
2014-10-01,62.136
2014-10-02,62.333
2014-10-03,62.916
2014-10-06,62.853
2014-10-07,62.038
2014-10-08,62.145
2014-10-09,62.145
2014-10-10,62.378
2014-10-13,61.57
2014-10-14,62.216
2014-10-15,62.602
2014-10-16,62.672
2014-10-17,62.88
2014-10-20,63.436
2014-10-21,64.49
2014-10-22,64.384
2014-10-23,64.844
2014-10-24,65.068
2014-10-27,65.238
2014-10-28,65.801
2014-10-29,66.646
2014-10-30,67.318
2014-10-31,68.242
2014-11-03,68.474
2014-11-04,68.042
2014-11-05,68.042
2014-11-06,68.295
2014-11-07,68.546
2014-11-10,69.037
2014-11-11,68.842
2014-11-12,69.147
2014-11-13,68.636
2014-11-14,68.476
2014-11-17,68.302
2014-11-18,68.547
2014-11-19,67.98
2014-11-20,68.107
2014-11-21,68.456
2014-11-24,68.604
2014-11-25,68.726
2014-11-26,69.038
2014-11-28,69.227
2014-12-01,67.952
2014-12-02,68.344
2014-12-03,68.654
2014-12-04,68.896
2014-12-05,69.353
2014-12-08,68.932
2014-12-09,69.651
