Date,SPY
1993-01-29,27.357
1993-02-01,27.551
1993-02-02,27.61
1993-02-03,27.902
1993-02-04,28.018
1993-02-05,27.999
1993-02-08,27.999
1993-02-09,27.804
1993-02-10,27.843
1993-02-11,27.979
1993-02-12,27.765
1993-02-16,27.065
1993-02-17,27.045
1993-02-18,27.026
1993-02-19,27.123
1993-02-22,27.221
1993-02-23,27.201
1993-02-24,27.551
1993-02-25,27.61
1993-02-26,27.649
1993-03-01,27.571
1993-03-02,27.979
1993-03-03,28.096
1993-03-04,27.94
1993-03-05,27.863
1993-03-08,28.485
1993-03-09,28.388
1993-03-10,28.446
1993-03-11,28.369
1993-03-12,28.077
1993-03-15,28.213
1993-03-16,28.213
1993-03-17,28.038
1993-03-18,28.213
1993-03-19,28.17
1993-03-22,28.014
1993-03-23,28.073
1993-03-24,28.073
1993-03-25,28.249
1993-03-26,28.092
1993-03-29,28.209
1993-03-30,28.288
1993-03-31,28.268
1993-04-01,28.17
1993-04-02,27.584
1993-04-05,27.721
1993-04-06,27.643
1993-04-07,27.74
1993-04-08,27.701
1993-04-12,28.092
1993-04-13,28.151
1993-04-14,28.112
1993-04-15,28.112
1993-04-16,28.112
1993-04-19,27.994
1993-04-20,27.858
1993-04-21,27.838
1993-04-22,27.486
1993-04-23,27.369
1993-04-26,27.154
1993-04-27,27.447
1993-04-28,27.388
1993-04-29,27.506
1993-04-30,27.545
1993-05-03,27.721
1993-05-04,27.818
1993-05-05,27.897
1993-05-06,27.799
1993-05-07,27.74
1993-05-10,27.799
1993-05-11,27.916
1993-05-12,27.877
1993-05-13,27.545
1993-05-14,27.525
1993-05-17,27.623
1993-05-18,27.603
1993-05-19,28.17
1993-05-20,28.249
1993-05-21,27.994
1993-05-24,28.112
1993-05-25,28.17
1993-05-26,28.522
1993-05-27,28.425
1993-05-28,28.288
1993-06-01,28.561
1993-06-02,28.522
1993-06-03,28.425
1993-06-04,28.327
1993-06-07,28.229
1993-06-08,27.975
1993-06-09,28.073
1993-06-10,28.092
1993-06-11,28.209
1993-06-14,28.17
1993-06-15,28.112
1993-06-16,28.17
1993-06-17,28.268
1993-06-18,28.037
1993-06-21,28.096
1993-06-22,28.116
1993-06-23,27.86
1993-06-24,28.234
1993-06-25,28.214
1993-06-28,28.529
1993-06-29,28.391
1993-06-30,28.391
1993-07-01,28.313
1993-07-02,28.155
1993-07-06,27.86
1993-07-07,27.938
1993-07-08,28.254
1993-07-09,28.332
1993-07-12,28.313
1993-07-13,28.293
1993-07-14,28.391
1993-07-15,28.273
1993-07-16,28.194
1993-07-19,28.175
1993-07-20,28.254
1993-07-21,28.234
1993-07-22,28.037
1993-07-23,28.175
1993-07-26,28.332
1993-07-27,28.313
1993-07-28,28.254
1993-07-29,28.411
1993-07-30,28.254
1993-08-02,28.332
1993-08-03,28.352
1993-08-04,28.352
1993-08-05,28.293
1993-08-06,28.332
1993-08-09,28.49
1993-08-10,28.47
1993-08-11,28.47
1993-08-12,28.391
1993-08-13,28.431
1993-08-16,28.588
1993-08-17,28.687
1993-08-18,28.844
1993-08-19,28.844
1993-08-20,28.864
1993-08-23,28.805
1993-08-24,29.12
1993-08-25,29.14
1993-08-26,29.159
1993-08-27,29.14
1993-08-30,29.258
1993-08-31,29.336
1993-09-01,29.297
1993-09-02,29.199
1993-09-03,29.218
1993-09-07,29.021
1993-09-08,28.923
1993-09-09,28.982
1993-09-10,29.238
1993-09-13,29.258
1993-09-14,29.14
1993-09-15,29.218
1993-09-16,29.1
1993-09-17,29.044
1993-09-20,28.806
1993-09-21,28.707
1993-09-22,28.945
1993-09-23,29.104
1993-09-24,29.024
1993-09-27,29.341
1993-09-28,29.282
1993-09-29,29.183
1993-09-30,29.123
1993-10-01,29.262
1993-10-04,29.302
1993-10-05,29.262
1993-10-06,29.242
1993-10-07,29.163
1993-10-08,29.203
1993-10-11,29.262
1993-10-12,29.302
1993-10-13,29.302
1993-10-14,29.678
1993-10-15,29.837
1993-10-18,29.757
1993-10-19,29.539
1993-10-20,29.579
1993-10-21,29.539
1993-10-22,29.401
1993-10-25,29.48
1993-10-26,29.46
1993-10-27,29.48
1993-10-28,29.698
1993-10-29,29.698
1993-11-01,29.777
1993-11-02,29.757
1993-11-03,29.381
1993-11-04,29.064
1993-11-05,29.203
1993-11-08,29.242
1993-11-09,29.262
1993-11-10,29.48
1993-11-11,29.401
1993-11-12,29.539
1993-11-15,29.52
1993-11-16,29.658
1993-11-17,29.5
1993-11-18,29.42
1993-11-19,29.361
1993-11-22,29.183
1993-11-23,29.341
1993-11-24,29.46
1993-11-26,29.48
1993-11-29,29.361
1993-11-30,29.381
1993-12-01,29.42
1993-12-02,29.5
1993-12-03,29.619
1993-12-06,29.718
1993-12-07,29.698
1993-12-08,29.698
1993-12-09,29.599
1993-12-10,29.539
1993-12-13,29.718
1993-12-14,29.5
1993-12-15,29.46
1993-12-16,29.559
1993-12-17,29.721
1993-12-20,29.76
1993-12-21,29.661
1993-12-22,29.86
1993-12-23,29.84
1993-12-27,30.0
1993-12-28,30.06
1993-12-29,30.02
1993-12-30,29.9
1993-12-31,29.74
1994-01-03,29.661
1994-01-04,29.78
1994-01-05,29.84
1994-01-06,29.84
1994-01-07,30.02
1994-01-10,30.379
1994-01-11,30.319
1994-01-12,30.219
1994-01-13,30.139
1994-01-14,30.259
1994-01-17,30.259
1994-01-18,30.299
1994-01-19,30.219
1994-01-20,30.299
1994-01-21,30.239
1994-01-24,30.119
1994-01-25,30.119
1994-01-26,30.199
1994-01-27,30.479
1994-01-28,30.558
1994-01-31,30.778
1994-02-01,30.618
1994-02-02,30.818
1994-02-03,30.678
1994-02-04,29.98
1994-02-07,30.119
1994-02-08,30.139
1994-02-09,30.259
1994-02-10,30.0
1994-02-11,30.1
1994-02-14,30.139
1994-02-15,30.299
1994-02-16,30.279
1994-02-17,30.1
1994-02-18,29.92
1994-02-22,30.219
1994-02-23,30.139
1994-02-24,29.74
1994-02-25,29.88
1994-02-28,29.88
1994-03-01,29.76
1994-03-02,29.8
1994-03-03,29.721
1994-03-04,29.8
1994-03-07,29.96
1994-03-08,29.84
1994-03-09,29.98
1994-03-10,29.74
1994-03-11,29.9
1994-03-14,29.94
1994-03-15,29.92
1994-03-16,30.159
1994-03-17,30.159
1994-03-18,30.153
1994-03-21,30.073
1994-03-22,30.153
1994-03-23,30.133
1994-03-24,29.772
1994-03-25,29.491
1994-03-28,29.531
1994-03-29,28.949
1994-03-30,28.548
1994-03-31,28.628
1994-04-04,28.187
1994-04-05,28.769
1994-04-06,28.769
1994-04-07,28.909
1994-04-08,28.688
1994-04-11,28.809
1994-04-12,28.769
1994-04-13,28.618
1994-04-14,28.628
1994-04-15,28.628
1994-04-18,28.438
1994-04-19,28.478
1994-04-20,28.448
1994-04-21,28.829
1994-04-22,28.799
1994-04-25,29.1
1994-04-26,29.069
1994-04-28,28.859
1994-04-29,28.949
1994-05-02,29.13
1994-05-03,29.1
1994-05-04,29.049
1994-05-05,29.009
1994-05-06,28.728
1994-05-09,28.478
1994-05-10,28.698
1994-05-11,28.438
1994-05-12,28.578
1994-05-13,28.578
1994-05-16,28.588
1994-05-17,29.009
1994-05-18,29.22
1994-05-19,29.36
1994-05-20,29.25
1994-05-23,29.2
1994-05-24,29.32
1994-05-25,29.4
1994-05-26,29.421
1994-05-27,29.451
1994-05-31,29.411
1994-06-01,29.541
1994-06-02,29.511
1994-06-03,29.681
1994-06-06,29.671
1994-06-07,29.631
1994-06-08,29.39
1994-06-09,29.551
1994-06-10,29.601
1994-06-13,29.641
1994-06-14,29.872
1994-06-15,29.752
1994-06-16,29.812
1994-06-17,29.646
1994-06-20,29.394
1994-06-21,29.142
1994-06-22,29.253
1994-06-23,29.081
